Time (Seconds),Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Position
23.129999,0.001025,-0.315637,-33.946381,-0.00097,6.500086,-6.78929,-0.071048,0.001025,-33.947025,33.933624,0.920901,-3.248602,0.839102,0.48911,31.188051,-17.040939,40.828506,-40.952747,-14.615198,30.138086,1.028968,-1.833523,Forward
23.144999,0.000492,-0.307236,-33.946697,0.019876,6.555889,-6.78929,-0.069846,0.003593,-33.947025,33.931969,0.729792,-2.62797,0.121222,0.059737,29.600851,-14.783699,40.798222,-39.281662,-15.984951,30.352009,-0.017294,-2.679538,Forward
23.16,0.001052,-0.331018,-33.946804,0.029848,6.518541,-6.78929,-0.062073,0.008633,-33.94701,33.926533,0.710066,-2.630033,-0.224522,-0.14092,29.050434,-13.800247,40.845024,-38.715534,-16.439241,30.43576,-0.456639,-3.054898,Forward
23.174999,0.001298,-0.343518,-33.946915,0.086511,6.458928,-6.78929,-0.074954,0.0106,-33.947025,33.918106,0.61805,-2.564859,-0.997276,-0.544448,26.593233,-10.395684,40.836948,-36.061966,-18.686701,30.491098,-1.58429,-3.682551,Forward
23.189999,0.000546,-0.357123,-33.94693,-0.020299,6.558867,-6.78929,-0.057961,0.016638,-33.946999,33.93029,0.841466,-2.558616,-1.170927,-0.632954,25.969145,-8.389057,40.867332,-34.938564,-19.110392,30.5151,-2.174705,-4.162194,Forward
23.205,0.000929,-0.355907,-33.946968,0.026078,6.555779,-6.78929,-0.061349,0.01851,-33.947025,33.923035,0.584295,-2.128096,-1.759826,-0.948891,23.652317,-5.128461,40.856281,-32.365303,-21.156538,30.529621,-3.258519,-4.690455,Forward
23.219999,0.000123,-0.353121,-33.946968,-0.046186,6.574781,-6.78929,-0.051718,0.018523,-33.94701,33.928787,0.685437,-1.979061,-1.927684,-1.019993,23.150093,-3.217648,40.869968,-31.440767,-21.675646,30.536396,-3.618648,-4.960261,Forward
23.234999,0.000287,-0.334297,-33.946999,0.01474,6.609,-6.78929,-0.053494,0.018783,-33.94701,33.921139,0.771975,-1.711604,-2.491093,-1.319306,20.876774,-0.015996,40.858368,-28.885773,-23.65192,30.540194,-4.629981,-5.627775,Forward
23.25,-0.001066,-0.296977,-33.946999,-0.042197,6.814835,-6.78929,-0.026474,0.028714,-33.947025,33.926739,0.874524,-1.374753,-2.616618,-1.355492,20.4056,1.878698,40.743896,-28.021248,-24.43014,30.54212,-5.109036,-5.89601,Forward
23.264999,-0.000328,-0.267866,-33.94701,0.101032,6.776258,-6.78929,-0.026214,0.030026,-33.947025,33.923447,0.9128,-0.931269,-3.315387,-1.705416,17.883074,5.530213,40.788292,-25.181377,-26.675905,30.543158,-6.388139,-6.625475,Forward
23.279999,-0.001216,-0.252526,-33.946999,-0.087795,6.849177,-6.78929,-0.010163,0.030736,-33.94701,33.930195,0.849061,-0.815279,-3.270049,-1.676484,17.82465,6.711043,40.653069,-24.816824,-26.99691,30.543732,-6.565984,-6.607498,Forward
23.295,0.000888,-0.266254,-31.737717,1.60489,6.836746,-6.789195,-0.003074,0.020982,-33.947025,33.978592,0.633527,-0.827942,-4.098837,-2.65137,17.745884,5.036937,40.625488,-27.570168,-26.930153,31.016396,-7.229646,-7.182873,Forward
23.309999,-0.002322,-0.250873,-31.200058,2.679237,6.856485,-6.789263,0.00321,0.034424,-33.947025,33.922272,0.38357,-0.573954,-4.221972,-2.845088,17.75386,4.919676,40.575356,-29.372833,-27.005381,31.096855,-7.512662,-7.333396,Forward
23.324999,0.001202,-0.252362,-28.757296,4.750492,6.820791,-6.789195,-0.001025,0.027198,-33.947037,33.970341,0.138571,-0.334652,-5.04904,-3.891569,18.167389,2.546103,40.563824,-32.924217,-26.543591,31.637287,-8.082832,-7.877367,Forward
23.34,-0.001421,-0.259438,-27.202772,6.530016,6.78955,-6.789208,0.000314,0.032785,-33.947025,33.937504,-0.021105,-0.269697,-5.463017,-4.441973,18.400434,0.87563,40.548717,-36.404716,-26.36628,31.899797,-8.446253,-8.154727,Forward
23.355,0.001038,-0.261624,-24.671312,8.726468,6.749771,-6.789167,-0.00265,0.029998,-33.947037,33.960167,-0.311402,0.050038,-6.243394,-5.476665,18.901894,-1.712096,40.528088,-40.49659,-25.835941,32.431828,-8.992327,-8.662046,Forward
23.369999,-0.00224,-0.249835,-23.81702,10.014013,6.793552,-6.789249,0.002022,0.04232,-33.94701,33.923241,-0.280038,0.114501,-6.499335,-5.804008,19.035574,-2.761281,40.519127,-43.611221,-25.744486,32.575249,-9.194104,-8.828511,Forward
23.385,0.00153,-0.278194,-21.282351,12.103164,6.730127,-6.789167,-0.001694,0.03788,-33.947037,33.968513,-0.85768,0.196054,-7.314231,-6.890063,19.588068,-5.384757,40.542377,-47.538597,-25.177402,33.135338,-9.706956,-9.386961,Forward
23.4,-0.002486,-0.250791,-20.424875,13.378141,6.841404,-6.789249,0.00739,0.048085,-33.946999,33.924976,-0.983083,0.464016,-7.539368,-7.164473,19.705875,-6.467219,40.485249,-50.52108,-25.082245,33.256081,-9.889554,-9.510151,Forward
23.414999,0.00179,-0.279,-17.889332,15.476676,6.757366,-6.789167,0.002363,0.045749,-33.94701,33.972008,-1.413521,0.640139,-8.358909,-8.237837,20.26763,-9.09758,40.560135,-54.423454,-24.492512,33.81982,-10.431993,-10.083791,Forward
23.43,-0.002418,-0.274779,-17.818243,16.095846,6.791216,-6.789263,0.006912,0.056636,-33.94701,33.907314,-1.470198,0.665725,-8.338992,-8.214286,20.225557,-9.303114,40.613045,-55.771584,-24.335663,33.778549,-10.474833,-10.052318,Forward
23.445,0.000587,-0.281527,-17.262867,16.403683,6.801666,-6.789249,0.011939,0.060311,-33.946999,33.944401,-1.451538,0.685109,-8.502329,-8.421556,20.342339,-9.874241,40.671646,-56.78532,-24.174812,33.895851,-10.535376,-10.135728,Forward
