Time (Seconds),Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Position
6.915,-33.946724,-0.21593,-16.973253,16.800489,6.52891,-20.363935,-0.06557,0.046555,-33.946518,33.932133,1.56246,-0.420712,-1.862019,-3.477905,23.762543,-32.266483,47.667099,-71.232712,-27.161068,37.335701,-3.070894,-10.022114,Left
6.93,-33.946846,-0.218662,-16.973253,16.806187,6.50163,-20.36574,-0.070542,0.046664,-33.946507,33.934387,1.408522,-0.344105,-1.857511,-3.472591,23.762529,-32.270718,47.674202,-71.241142,-27.109663,37.338226,-3.058135,-10.05005,Left
6.945,-33.946575,-0.225697,-16.973253,16.810133,6.501056,-20.366886,-0.071676,0.046404,-33.946518,33.933952,1.282136,-0.320923,-1.859218,-3.471348,23.762543,-32.268738,47.696617,-71.253639,-27.086222,37.339825,-3.074009,-10.072972,Left
6.96,-33.946587,-0.231858,-16.973238,16.808372,6.509607,-20.367392,-0.071703,0.046227,-33.946491,33.935303,1.174,-0.294286,-1.859205,-3.471853,23.762529,-32.271427,47.703476,-71.256821,-27.082615,37.340523,-3.067848,-10.095334,Left
6.975,-33.946449,-0.236338,-16.973238,16.792526,6.587964,-19.737799,-0.061267,0.040462,-33.946507,33.930248,1.048216,-0.138503,-1.607635,-3.156982,23.447588,-31.542511,47.082912,-69.527039,-26.712364,36.459126,-2.781567,-9.357974,Left
6.99,-33.946411,-0.252512,-16.973238,16.771051,6.580764,-19.210987,-0.057838,0.044683,-33.946518,33.935837,1.025034,-0.314899,-1.414478,-2.888173,23.184107,-30.966057,46.545349,-68.081917,-26.405649,35.753075,-2.491079,-8.780495,Left
7.005,-33.946507,-0.251119,-16.973238,16.790039,6.611746,-18.559168,-0.052155,0.048248,-33.946507,33.932598,0.979012,-0.13991,-1.141393,-2.558234,22.858171,-30.214708,45.89043,-66.283325,-25.95767,34.835373,-2.145035,-8.019831,Left
7.02,-33.946354,-0.261665,-16.973253,16.787745,6.603946,-17.916037,-0.04986,0.051404,-33.946491,33.934647,1.005144,-0.280953,-0.905437,-2.231805,22.536579,-29.507715,45.242424,-64.521851,-25.601366,33.972748,-1.731603,-7.320037,Left
7.035,-33.946545,-0.255722,-16.973253,16.814779,6.615735,-17.246843,-0.047033,0.053781,-33.946507,33.932518,1.007781,-0.088792,-0.62917,-1.891881,22.201967,-28.738363,44.572914,-62.674034,-25.122528,33.030277,-1.402224,-6.547064,Left
7.05,-33.946327,-0.262621,-16.973253,16.809479,6.601432,-16.576693,-0.047087,0.054519,-33.946491,33.93372,1.063119,-0.21078,-0.382777,-1.554087,21.866892,-28.000607,43.897491,-60.838448,-24.764162,32.131107,-0.945517,-5.812587,Left
7.065,-33.946587,-0.255668,-16.973253,16.828985,6.611869,-15.900817,-0.04594,0.055038,-33.946507,33.932529,1.083596,-0.022772,-0.107644,-1.211484,21.528934,-27.224001,43.223392,-58.971252,-24.282457,31.179363,-0.597396,-5.029778,Left
7.08,-33.946327,-0.262525,-16.973253,16.816309,6.60049,-15.22411,-0.045749,0.054546,-33.946491,33.93372,1.149985,-0.149417,0.138626,-0.872885,21.190594,-26.478308,42.544537,-57.1175,-23.905663,30.27129,-0.134609,-4.28022,Left
7.095,-33.946613,-0.255722,-16.973253,16.831909,6.609096,-14.546077,-0.045311,0.054232,-33.946507,33.932598,1.171924,0.026925,0.414169,-0.530733,20.851583,-25.699816,41.869442,-55.242611,-23.425924,29.316566,0.277114,-3.490896,Left
7.11,-33.946342,-0.257853,-16.973293,16.833508,6.585176,-13.867729,-0.046814,0.052715,-33.946507,33.932339,1.237302,-0.086265,0.65757,-0.193349,20.512411,-24.944302,41.185577,-53.401218,-23.041302,28.406265,0.724369,-2.718661,Left
7.125,-33.946545,-0.245709,-16.973267,16.858355,6.595217,-13.189054,-0.046978,0.052934,-33.946518,33.930946,1.236319,-0.001202,0.93575,0.15189,20.173073,-24.150717,40.496628,-51.548599,-22.573435,27.450626,1.092844,-1.899271,Left
7.14,-33.946491,-0.240805,-16.973267,16.846594,6.586351,-12.510283,-0.047361,0.051418,-33.946507,33.933567,1.206334,-0.010614,1.180953,0.488673,19.833681,-23.396431,39.815647,-49.702713,-22.17272,26.539753,1.547393,-1.139754,Left
7.155,-33.946449,-0.238797,-16.973253,16.854504,6.582103,-11.831418,-0.047265,0.050407,-33.946518,33.931873,1.134016,0.001257,1.459229,0.836234,19.494247,-22.605618,39.131546,-47.842552,-21.715549,25.583881,1.955237,-0.317986,Left
7.17,-33.946438,-0.2378,-16.973253,16.845623,6.587663,-11.152538,-0.046514,0.047005,-33.946507,33.933323,1.053242,0.057674,1.69987,1.173713,19.1548,-21.857042,38.454811,-45.982529,-21.324957,24.672842,2.399746,0.450219,Left
7.185,-33.946342,-0.240518,-16.973253,16.843206,6.552774,-10.473618,-0.050475,0.044478,-33.946518,33.931534,0.938427,0.047948,1.977531,1.517531,18.815355,-21.069372,37.766384,-44.123486,-20.861721,23.716904,2.804544,1.254446,Left
7.2,-33.946438,-0.238947,-16.973238,16.835815,6.541846,-9.79471,-0.052005,0.041295,-33.946507,33.934715,0.816891,0.095049,2.222216,1.858139,18.475895,-20.320702,37.072411,-42.260811,-20.481319,22.805824,3.237004,2.031913,Left
7.215,-33.946312,-0.243824,-16.973267,16.826963,6.560219,-9.115775,-0.051664,0.039301,-33.946507,33.931438,0.693797,0.10707,2.501133,2.206793,18.136448,-19.534424,36.380142,-40.392933,-20.031183,21.849871,3.633469,2.774382,Left
7.23,-33.946369,-0.251993,-16.973267,16.818275,6.614997,-8.436854,-0.040599,0.042866,-33.946518,33.934673,0.613365,0.009945,2.753864,2.565597,17.796959,-18.783075,35.676754,-38.543755,-19.657011,20.938833,4.104848,3.405068,Left
7.245,-33.946354,-0.261091,-16.973267,16.803905,6.625393,-7.75792,-0.036405,0.044082,-33.946507,33.935127,0.5377,0.022458,3.043573,2.929058,17.457514,-18.001497,34.97987,-36.662434,-19.226654,19.982922,4.544726,4.019471,Left
7.26,-33.946301,-0.270544,-16.973253,16.831553,6.572732,-7.079,-0.040421,0.04023,-33.946491,33.938896,0.469425,-0.067578,3.289365,3.276469,17.118038,-17.259806,34.29483,-34.806919,-18.830435,19.071787,4.95477,4.812046,Left
7.275,-33.946449,-0.265612,-16.973267,16.852112,6.425897,-7.029945,-0.065734,0.036214,-33.946518,33.942982,0.429537,-0.074476,3.320551,3.302451,17.093519,-17.209318,34.231541,-34.655178,-18.800737,18.997639,5.000026,4.945781,Left
