,Time (Seconds),Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Position
0,10.740001,-0.000751,-0.245559,-0.509997,33.379025,6.717778,-6.789277,-0.015395,0.027225,-33.946491,33.931492,-1.581093,2.696354,13.47599,8.689763,24.955736,-20.180273,74.658791,-40.839012,-38.936806,22.11562,15.008644,8.477235,Back
1,10.755,0.000902,-0.26288,-0.187202,33.556679,6.694692,-6.789277,-0.017909,0.026037,-33.946507,33.943119,-2.053961,3.008398,13.551847,8.686853,22.010353,-20.24621,71.467224,-40.832512,-39.559444,22.084925,15.050882,8.323337,Back
2,10.77,0.0,-0.265298,-0.130416,33.683418,6.727354,-6.78929,-0.017499,0.028687,-33.946491,33.941422,-2.071897,3.111547,13.595547,8.677537,18.903053,-20.262932,67.876343,-40.838371,-39.479042,22.079229,15.045978,8.309034,Back
3,10.785001,0.000861,-0.282524,-0.05456,33.700302,6.744976,-6.78929,-0.013278,0.031392,-33.946491,33.945099,-2.399418,3.287534,13.585684,8.661868,15.692183,-20.273327,64.04615,-40.841774,-39.42123,22.071976,15.005775,8.329948,Back
4,10.8,0.000287,-0.279546,-0.034069,33.737473,6.795506,-6.789304,-0.008114,0.036214,-33.946476,33.946327,-2.432217,3.401967,13.615518,8.648577,12.415071,-20.272617,60.054932,-40.858204,-39.026268,22.069967,15.042167,8.325987,Back
5,10.815001,0.000902,-0.294272,-0.015477,33.706547,6.825108,-6.789304,0.002404,0.041446,-33.946491,33.94458,-2.603204,3.433044,13.582705,8.627608,7.872135,-20.26524,54.425175,-40.869884,-38.415169,22.068165,14.970846,8.356982,Back
6,10.83,0.001147,-0.324379,-0.00903,33.682438,6.903914,-6.789304,0.015491,0.048071,-33.946507,33.94693,-2.720232,3.34249,13.587691,8.608429,3.743012,-20.263424,49.389973,-40.868656,-37.870926,22.067549,14.988632,8.355699,Back
7,10.845,0.001735,-0.359746,-0.004317,33.685223,6.968132,-6.789304,0.034643,0.054846,-33.946491,33.95171,-2.811265,3.317245,13.573143,8.602992,2.104778,-20.254038,47.007343,-40.877728,-37.568665,22.067085,15.032427,8.358622,Back
8,10.860001,0.000806,-0.338286,-0.002445,33.675701,6.765344,-6.789304,0.024766,0.048795,-33.946507,33.950191,-2.566662,3.395451,12.843597,8.150232,1.413508,-20.806656,45.445908,-40.883476,-37.215801,21.594559,14.311896,8.212278,Back
9,10.875,0.000328,-0.295474,-0.00127,33.623108,6.510031,-6.789304,-0.00377,0.034233,-33.946518,33.94828,-2.431383,3.373485,11.488474,7.306581,1.606515,-21.812046,44.379128,-40.873615,-36.834557,20.75831,12.830989,7.679127,Back
10,10.89,0.000191,-0.279041,-0.000656,33.679855,6.593086,-6.789304,-0.008866,0.030217,-33.946507,33.936218,-2.473867,3.163129,11.537774,7.324558,1.281371,-21.732843,43.97411,-40.949619,-36.855812,20.813923,12.983124,7.464864,Back
11,10.905001,0.000109,-0.258741,-0.000369,33.598137,6.416648,-6.789304,-0.028441,0.021064,-33.946491,33.955345,-2.332783,3.274939,9.833273,6.244678,2.043702,-23.066614,43.410564,-40.824398,-36.413021,19.694332,11.018024,6.88076,Back
12,10.92,-0.000861,-0.220041,-0.000164,33.631443,6.425938,-6.789304,-0.044902,0.01922,-33.946507,33.930687,-2.20443,3.522288,9.285861,5.904794,2.228581,-23.453148,43.104504,-40.912697,-36.292046,19.401003,10.441242,5.846901,Back
