,16bit_input_data,16bit_output_data
0,000000000000000,"1111100000000001
"
1,000000000000000,"1111100000000010
"
2,000000000000000,"1111100000000011
"
3,000000000000000,"1111100000000100
"
4,000000000000000,"1111100000000101
"
5,000000000000000,"1111100000000110
"
6,000000000000000,"1111100000000111
"
7,000000000000000,"1111100000001000
"
8,000000000000000,"1111100000001001
"
9,000000000000000,"1111100000001010
"
10,000000000000000,"1111100000001011
"
11,000000000000000,"1111100000001100
"
12,000000000000000,"1111100000001101
"
13,000000000000000,"1111100000001110
"
14,000000000000000,"1111100000001111
"
15,000000000000000,"1111100000010000
"
16,000000000000000,"1111100000010001
"
17,000000000000000,"1111100000010010
"
18,000000000000000,"1111100000010011
"
19,000000000000000,"1111100000010100
"
20,000000000000000,"1111100000010101
"
21,000000000000000,"1111100000010110
"
22,000000000000000,"1111100000010111
"
23,000000000000000,"1111100000011000
"
24,000000000000000,"1111100000011001
"
25,000000000000000,"1111100000011010
"
26,000000000000000,"1111100000011011
"
27,000000000000000,"1111100000011100
"
28,000000000000000,"1111100000011101
"
29,000000000000000,"1111100000011110
"
30,000000000000000,"1111100000011111
"
31,000000000000000,"1111100000100000
"
32,000000000000000,"1111100000100001
"
33,000000000000000,"1111100000100010
"
34,000000000000000,"1111100000100011
"
35,000000000000000,"1111100000100100
"
36,000000000000000,"1111100000100101
"
37,000000000000000,"1111100000100110
"
38,000000000000000,"1111100000100111
"
39,000000000000000,"1111100000101000
"
40,000000000000000,"1111100000101001
"
41,000000000000000,"1111100000101010
"
42,000000000000000,"1111100000101011
"
43,000000000000000,"1111100000101100
"
44,000000000000000,"1111100000101101
"
45,000000000000000,"1111100000101110
"
46,000000000000000,"1111100000101111
"
47,000000000000000,"1111100000110000
"
48,000000000000000,"1111100000110001
"
49,000000000000000,"1111100000110010
"
50,000000000000000,"1111100000110011
"
51,000000000000000,"1111100000110100
"
52,000000000000000,"1111100000110101
"
53,000000000000000,"1111100000110110
"
54,000000000000000,"1111100000110111
"
55,000000000000000,"1111100000111000
"
56,000000000000000,"1111100000111001
"
57,000000000000000,"1111100000111010
"
58,000000000000000,"1111100000111011
"
59,000000000000000,"1111100000111100
"
60,000000000000000,"1111100000111101
"
61,000000000000000,"1111100000111110
"
62,000000000000000,"1111100000111111
"
63,000000000000000,"1111100001000000
"
64,000000000000000,"1111100001000001
"
65,000000000000000,"1111100001000010
"
66,000000000000000,"1111100001000011
"
67,000000000000000,"1111100001000100
"
68,000000000000000,"1111100001000101
"
69,000000000000000,"1111100001000110
"
70,000000000000000,"1111100001000111
"
71,000000000000000,"1111100001001000
"
72,000000000000000,"1111100001001001
"
73,000000000000000,"1111100001001010
"
74,000000000000000,"1111100001001011
"
75,000000000000000,"1111100001001100
"
76,000000000000000,"1111100001001101
"
77,000000000000000,"1111100001001110
"
78,000000000000000,"1111100001001111
"
79,000000000000000,"1111100001010000
"
80,000000000000000,"1111100001010001
"
81,000000000000000,"1111100001010010
"
82,000000000000000,"1111100001010011
"
83,000000000000000,"1111100001010100
"
84,000000000000000,"1111100001010101
"
85,000000000000000,"1111100001010110
"
86,000000000000000,"1111100001010111
"
87,000000000000000,"1111100001011000
"
88,000000000000000,"1111100001011001
"
89,000000000000000,"1111100001011010
"
90,000000000000000,"1111100001011011
"
91,000000000000000,"1111100001011100
"
92,000000000000000,"1111100001011101
"
93,000000000000000,"1111100001011110
"
94,000000000000000,"1111100001011111
"
95,000000000000000,"1111100001100000
"
96,000000000000000,"1111100001100001
"
97,000000000000000,"1111100001100010
"
98,000000000000000,"1111100001100011
"
99,000000000000000,"1111100001100100
"
100,000000000000000,"1111100001100101
"
101,000000000000000,"1111100001100110
"
102,000000000000000,"1111100001100111
"
103,000000000000000,"1111100001101000
"
104,000000000000000,"1111100001101001
"
105,000000000000000,"1111100001101010
"
106,000000000000000,"1111100001101011
"
107,000000000000000,"1111100001101100
"
108,000000000000000,"1111100001101101
"
109,000000000000000,"1111100001101110
"
110,000000000000000,"1111100001101111
"
111,000000000000000,"1111100001110000
"
112,000000000000000,"1111100001110001
"
113,000000000000000,"1111100001110010
"
114,000000000000000,"1111100001110011
"
115,000000000000000,"1111100001110100
"
116,000000000000000,"1111100001110101
"
117,000000000000000,"1111100001110110
"
118,000000000000000,"1111100001110111
"
119,000000000000000,"1111100001111000
"
120,000000000000000,"1111100001111001
"
121,000000000000000,"1111100001111010
"
122,000000000000000,"1111100001111011
"
123,000000000000000,"1111100001111100
"
124,000000000000000,"1111100001111101
"
125,000000000000000,"1111100001111110
"
126,000000000000000,"1111100001111111
"
127,000000000000000,"1111100010000000
"
128,000000000000000,"1111100010000001
"
129,000000000000000,"1111100010000010
"
130,000000000000000,"1111100010000011
"
131,000000000000000,"1111100010000100
"
132,000000000000000,"1111100010000101
"
133,000000000000000,"1111100010000110
"
134,000000000000000,"1111100010000111
"
135,000000000000000,"1111100010001000
"
136,000000000000000,"1111100010001001
"
137,000000000000000,"1111100010001010
"
138,000000000000000,"1111100010001011
"
139,000000000000000,"1111100010001100
"
140,000000000000000,"1111100010001101
"
141,000000000000000,"1111100010001110
"
142,000000000000000,"1111100010001111
"
143,000000000000000,"1111100010010000
"
144,000000000000000,"1111100010010001
"
145,000000000000000,"1111100010010010
"
146,000000000000000,"1111100010010011
"
147,000000000000000,"1111100010010100
"
148,000000000000000,"1111100010010101
"
149,000000000000000,"1111100010010110
"
150,000000000000000,"1111100010010111
"
151,000000000000000,"1111100010011000
"
152,000000000000000,"1111100010011001
"
153,000000000000000,"1111100010011010
"
154,000000000000000,"1111100010011011
"
155,000000000000000,"1111100010011100
"
156,000000000000000,"1111100010011101
"
157,000000000000000,"1111100010011110
"
158,000000000000000,"1111100010011111
"
159,000000000000000,"1111100010100000
"
160,000000000000000,"1111100010100001
"
161,000000000000000,"1111100010100010
"
162,000000000000000,"1111100010100011
"
163,000000000000000,"1111100010100100
"
164,000000000000000,"1111100010100101
"
165,000000000000000,"1111100010100110
"
166,000000000000000,"1111100010100111
"
167,000000000000000,"1111100010101000
"
168,000000000000000,"1111100010101001
"
169,000000000000000,"1111100010101010
"
170,000000000000000,"1111100010101011
"
171,000000000000000,"1111100010101100
"
172,000000000000000,"1111100010101101
"
173,000000000000000,"1111100010101110
"
174,000000000000000,"1111100010101111
"
175,000000000000000,"1111100010110000
"
176,000000000000000,"1111100010110001
"
177,000000000000000,"1111100010110010
"
178,000000000000000,"1111100010110011
"
179,000000000000000,"1111100010110100
"
180,000000000000000,"1111100010110101
"
181,000000000000000,"1111100010110110
"
182,000000000000000,"1111100010110111
"
183,000000000000000,"1111100010111000
"
184,000000000000000,"1111100010111001
"
185,000000000000000,"1111100010111010
"
186,000000000000000,"1111100010111011
"
187,000000000000000,"1111100010111100
"
188,000000000000000,"1111100010111101
"
189,000000000000000,"1111100010111110
"
190,000000000000000,"1111100010111111
"
191,000000000000000,"1111100011000000
"
192,000000000000000,"1111100011000001
"
193,000000000000000,"1111100011000010
"
194,000000000000000,"1111100011000011
"
195,000000000000000,"1111100011000100
"
196,000000000000000,"1111100011000101
"
197,000000000000000,"1111100011000110
"
198,000000000000000,"1111100011000111
"
199,000000000000000,"1111100011001000
"
200,000000000000000,"1111100011001001
"
201,000000000000000,"1111100011001010
"
202,000000000000000,"1111100011001011
"
203,000000000000000,"1111100011001100
"
204,000000000000000,"1111100011001101
"
205,000000000000000,"1111100011001110
"
206,000000000000000,"1111100011001111
"
207,000000000000000,"1111100011010000
"
208,000000000000000,"1111100011010001
"
209,000000000000000,"1111100011010010
"
210,000000000000000,"1111100011010011
"
211,000000000000000,"1111100011010100
"
212,000000000000000,"1111100011010101
"
213,000000000000000,"1111100011010110
"
214,000000000000000,"1111100011010111
"
215,000000000000000,"1111100011011000
"
216,000000000000000,"1111100011011001
"
217,000000000000000,"1111100011011010
"
218,000000000000000,"1111100011011011
"
219,000000000000000,"1111100011011100
"
220,000000000000000,"1111100011011101
"
221,000000000000000,"1111100011011110
"
222,000000000000000,"1111100011011111
"
223,000000000000000,"1111100011100000
"
224,000000000000000,"1111100011100001
"
225,000000000000000,"1111100011100010
"
226,000000000000000,"1111100011100011
"
227,000000000000000,"1111100011100100
"
228,000000000000000,"1111100011100101
"
229,000000000000000,"1111100011100110
"
230,000000000000000,"1111100011100111
"
231,000000000000000,"1111100011101000
"
232,000000000000000,"1111100011101001
"
233,000000000000000,"1111100011101010
"
234,000000000000000,"1111100011101011
"
235,000000000000000,"1111100011101100
"
236,000000000000000,"1111100011101101
"
237,000000000000000,"1111100011101110
"
238,000000000000000,"1111100011101111
"
239,000000000000000,"1111100011110000
"
240,000000000000000,"1111100011110001
"
241,000000000000000,"1111100011110010
"
242,000000000000000,"1111100011110011
"
243,000000000000000,"1111100011110100
"
244,000000000000000,"1111100011110101
"
245,000000000000000,"1111100011110110
"
246,000000000000000,"1111100011110111
"
247,000000000000000,"1111100011111000
"
248,000000000000000,"1111100011111001
"
249,000000000000000,"1111100011111010
"
250,000000000000000,"1111100011111011
"
251,000000000000000,"1111100011111100
"
252,000000000000000,"1111100011111101
"
253,000000000000000,"1111100011111110
"
254,000000000000000,"1111100011111111
"
255,000000000000000,"1111100100000000
"
256,000000000000000,"1111100100000001
"
257,000000000000000,"1111100100000010
"
258,000000000000000,"1111100100000011
"
259,000000000000000,"1111100100000100
"
260,000000000000000,"1111100100000101
"
261,000000000000000,"1111100100000110
"
262,000000000000000,"1111100100000111
"
263,000000000000000,"1111100100001000
"
264,000000000000000,"1111100100001001
"
265,000000000000000,"1111100100001010
"
266,000000000000000,"1111100100001011
"
267,000000000000000,"1111100100001100
"
268,000000000000000,"1111100100001101
"
269,000000000000000,"1111100100001110
"
270,000000000000000,"1111100100001111
"
271,000000000000000,"1111100100010000
"
272,000000000000000,"1111100100010001
"
273,000000000000000,"1111100100010010
"
274,000000000000000,"1111100100010011
"
275,000000000000000,"1111100100010100
"
276,000000000000000,"1111100100010101
"
277,000000000000000,"1111100100010110
"
278,000000000000000,"1111100100010111
"
279,000000000000000,"1111100100011000
"
280,000000000000000,"1111100100011001
"
281,000000000000000,"1111100100011010
"
282,000000000000000,"1111100100011011
"
283,000000000000000,"1111100100011100
"
284,000000000000000,"1111100100011101
"
285,000000000000000,"1111100100011110
"
286,000000000000000,"1111100100011111
"
287,000000000000000,"1111100100100000
"
288,000000000000000,"1111100100100001
"
289,000000000000000,"1111100100100010
"
290,000000000000000,"1111100100100011
"
291,000000000000000,"1111100100100100
"
292,000000000000000,"1111100100100101
"
293,000000000000000,"1111100100100110
"
294,000000000000000,"1111100100100111
"
295,000000000000000,"1111100100101000
"
296,000000000000000,"1111100100101001
"
297,000000000000000,"1111100100101010
"
298,000000000000000,"1111100100101011
"
299,000000000000000,"1111100100101100
"
300,000000000000000,"1111100100101101
"
301,000000000000000,"1111100100101110
"
302,000000000000000,"1111100100101111
"
303,000000000000000,"1111100100110000
"
